TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
44208,0,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:07:42Z
45222,1,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:07:43Z
46218,2,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:07:44Z
47227,3,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,11.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:07:45Z
94443,0,0.316911,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.238874,0.983185,4.000000,11.000000,3.000000,0.702364,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:08:33Z
95457,1,0.316911,0.317437,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.238874,0.980556,4.000000,11.000000,3.000000,0.702364,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,3.000000,0.703531,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:08:34Z
96460,2,0.316911,0.317437,0.317360,0.238874,0.000000,0.000000,0.000000,0.000000,0.238874,0.987170,4.000000,11.000000,3.000000,0.702364,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,3.000000,0.703531,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,3.000000,0.703359,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,0.000000,1.000000,1.000000,2016.000000,3.293184,3750.936576,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:08:35Z
97463,3,0.316911,0.317437,0.317360,0.335125,0.000000,0.000000,0.000000,0.000000,0.316911,0.999420,5.000000,11.000000,3.000000,0.702364,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,3.000000,0.703531,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,3.000000,0.703359,1.000000,2240.000000,4.116480,4688.670720,0.238874,11.000000,4.000000,0.684842,1.000000,2240.000000,4.116480,4688.670720,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:08:36Z
145668,1,0.316911,0.317579,0.317360,0.335125,0.000000,0.000000,0.000000,0.000000,0.316911,0.999423,4.000000,11.000000,3.000000,0.702364,1.000000,2688.000000,5.763072,5681.565696,0.275980,11.000000,3.000000,0.703845,1.000000,3360.000000,8.232960,7170.908160,0.312373,11.000000,3.000000,0.703359,1.000000,2912.000000,6.586368,6178.013184,0.290061,11.000000,4.000000,0.684842,1.000000,2688.000000,5.763072,5604.175872,0.279791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:09:24Z
156696,2,0.316911,0.317579,0.339996,0.335125,0.000000,0.000000,0.000000,0.000000,0.316911,0.999010,5.000000,11.000000,3.000000,0.702364,1.000000,2912.000000,6.586368,6178.013184,0.290061,11.000000,3.000000,0.703845,1.000000,3360.000000,8.232960,7170.908160,0.312373,11.000000,4.000000,0.694796,0.937500,3360.000000,8.232960,7170.908160,0.312373,11.000000,4.000000,0.684842,1.000000,2912.000000,6.586368,6061.928448,0.295615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T16:09:35Z
