TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
43821,0,0.069162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:32Z
44836,1,0.069162,0.069162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:33Z
45838,2,0.069162,0.069162,0.069162,0.000000,0.000000,0.000000,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:34Z
46840,3,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:35Z
47844,4,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:36Z
48852,5,0.069162,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.069162,NaN,2.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.521450,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:21:37Z
95113,1,0.069162,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.069162,1.000000,2.000000,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,1792.000000,4.448256,5066.563584,0.132634,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,1792.000000,4.448256,5066.563584,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:22:23Z
136412,2,0.069162,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.069162,1.000000,2.000000,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,2464.000000,8.896512,10133.127168,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,1.000000,2016.000000,5.931008,6755.418112,0.132634,12.000000,0.000000,0.521450,1.000000,1792.000000,4.448256,5066.563584,0.132634,12.000000,0.000000,0.521450,1.000000,2016.000000,5.931008,6755.418112,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:23:04Z
137378,3,0.069162,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.069162,1.000000,2.000000,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,2464.000000,8.896512,10133.127168,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,1.000000,1792.000000,4.448256,5066.563584,0.132634,12.000000,0.000000,0.521450,1.000000,2016.000000,5.931008,6755.418112,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:23:05Z
139396,5,0.069162,0.069162,0.069162,0.069162,0.069162,0.069162,0.000000,0.000000,0.069162,1.000000,2.000000,12.000000,0.000000,0.521450,1.000000,1344.000000,1.482752,1688.854528,0.132634,12.000000,0.000000,0.521450,1.000000,2464.000000,8.896512,10133.127168,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,12.000000,0.000000,0.521450,1.000000,2016.000000,5.931008,6755.418112,0.132634,12.000000,0.000000,0.521450,0.714286,2240.000000,7.413760,8444.272640,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T11:23:07Z
