TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
52842,0,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:04Z
53843,1,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:05Z
54858,2,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:06Z
55867,3,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:07Z
56884,4,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:08Z
57891,5,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:09Z
58893,6,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:10Z
59904,7,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:11Z
60969,8,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:12Z
61923,9,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.017072,0.000000,0.000000,0.017072,NaN,2.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,12.000000,0.000000,0.119220,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-21T13:12:13Z
