TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
56287,0,0.682407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.682407,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:20Z
57300,1,0.682407,0.622383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622383,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:21Z
58308,2,0.682407,0.622383,0.641412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622383,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:22Z
59319,3,0.682407,0.622383,0.641412,0.635163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622383,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:23Z
60330,4,0.682407,0.622383,0.641412,0.635163,0.602532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602532,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:24Z
61344,5,0.682407,0.622383,0.641412,0.635163,0.602532,0.653621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.602532,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,9.000000,0.000000,0.752132,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:25Z
62356,6,0.682407,0.622383,0.641412,0.635163,0.602532,0.653621,0.581658,0.000000,0.000000,0.000000,0.000000,0.000000,0.581658,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,9.000000,0.000000,0.752132,1.000000,0.000000,10.000000,1.000000,0.964167,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:26Z
63366,7,0.682407,0.622383,0.641412,0.635163,0.602532,0.653621,0.581658,0.560126,0.000000,0.000000,0.000000,0.000000,0.560126,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,9.000000,0.000000,0.752132,1.000000,0.000000,10.000000,1.000000,0.964167,1.000000,0.000000,10.000000,1.000000,0.928475,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:27Z
64376,8,0.682407,0.622383,0.641412,0.635163,0.602532,0.653621,0.581658,0.560126,0.584473,0.000000,0.000000,0.000000,0.560126,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,9.000000,0.000000,0.752132,1.000000,0.000000,10.000000,1.000000,0.964167,1.000000,0.000000,10.000000,1.000000,0.928475,1.000000,0.000000,10.000000,1.000000,0.968833,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:28Z
65392,9,0.682407,0.622383,0.641412,0.635163,0.602532,0.653621,0.581658,0.560126,0.584473,0.582633,0.000000,0.000000,0.560126,NaN,48.000000,9.000000,0.000000,0.785256,1.000000,0.000000,9.000000,0.000000,0.716186,1.000000,0.000000,9.000000,0.000000,0.738083,1.000000,0.000000,9.000000,0.000000,0.730892,1.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,9.000000,0.000000,0.752132,1.000000,0.000000,10.000000,1.000000,0.964167,1.000000,0.000000,10.000000,1.000000,0.928475,1.000000,0.000000,10.000000,1.000000,0.968833,1.000000,0.000000,10.000000,1.000000,0.965783,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-23T18:44:29Z
