TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
45000,0,0.076556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076556,NaN,2.000000,12.000000,0.000000,0.577199,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:42:06Z
46010,1,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076556,NaN,2.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:42:07Z
47012,2,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.000000,0.076556,NaN,2.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:42:08Z
48025,3,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,NaN,2.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,12.000000,0.000000,0.577199,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:42:09Z
106260,1,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,1.000000,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,1.000000,0.132634,12.000000,0.000000,0.577199,1.000000,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:43:07Z
135370,0,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,0.714286,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,1.000000,0.132634,12.000000,0.000000,0.577199,1.000000,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:43:36Z
138401,3,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,0.714286,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,1.000000,0.132634,12.000000,0.000000,0.577199,0.714286,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:43:39Z
147431,2,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,0.714286,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,0.666667,0.132634,12.000000,0.000000,0.577199,0.714286,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:43:48Z
197649,2,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,0.714286,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,0.750000,0.132634,12.000000,0.000000,0.577199,0.714286,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:44:39Z
208715,3,0.076556,0.076556,0.076556,0.076556,0.000000,0.000000,0.000000,0.000000,0.076556,1.000000,2.000000,12.000000,0.000000,0.577199,0.714286,0.132634,12.000000,0.000000,0.577199,0.909091,0.132634,12.000000,0.000000,0.577199,0.750000,0.132634,12.000000,0.000000,0.577199,0.714286,0.132634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-24T10:44:50Z
