TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
46251,0,2.957832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.957832,NaN,32.000000,8.000000,4.000000,0.905915,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:10:45Z
47249,1,2.957832,3.009828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.957832,NaN,32.000000,8.000000,4.000000,0.905915,1.000000,0.000000,8.000000,4.000000,0.921840,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:10:46Z
96355,0,2.618316,3.009828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.618316,0.995184,32.000000,8.000000,4.000000,0.801929,1.000000,3.265023,8.000000,4.000000,0.921840,1.000000,3.265023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:11:35Z
107381,1,2.618316,2.934287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.618316,0.996772,32.000000,8.000000,4.000000,0.801929,1.000000,3.265023,7.000000,2.000000,0.743967,0.909091,3.265023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:11:46Z
156493,0,2.178940,2.934287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.178940,0.978644,32.000000,8.000000,4.000000,0.667358,0.937500,3.265023,7.000000,2.000000,0.743967,0.909091,3.433950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:12:35Z
187575,1,2.178940,2.922678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.178940,0.979189,32.000000,8.000000,4.000000,0.667358,0.937500,3.265023,8.000000,3.000000,0.970817,0.789474,3.572581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:13:06Z
237704,1,2.178940,3.659113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.178940,0.939601,32.000000,8.000000,4.000000,0.667358,0.937500,3.265023,7.000000,1.000000,0.984498,0.833333,3.363280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:13:56Z
246747,0,2.842496,3.659113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.842496,0.984469,32.000000,8.000000,4.000000,0.870590,0.800000,3.265023,7.000000,1.000000,0.984498,0.833333,3.363280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:14:05Z
287843,1,2.842496,3.656226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.842496,0.984564,32.000000,8.000000,4.000000,0.870590,0.800000,3.265023,7.000000,1.000000,0.983721,0.862069,3.445187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:14:46Z
306936,0,2.944320,3.656226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.944320,0.988501,32.000000,8.000000,3.000000,0.978006,0.806452,3.265023,7.000000,1.000000,0.983721,0.862069,3.457215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:15:05Z
337937,1,2.944320,3.692015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.944320,0.987465,32.000000,8.000000,3.000000,0.978006,0.806452,3.229415,7.000000,1.000000,0.993350,0.882353,3.496274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:15:36Z
356969,0,2.939146,3.692015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.939146,0.987274,32.000000,8.000000,3.000000,0.976287,0.833333,3.210741,7.000000,1.000000,0.993350,0.882353,3.504269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:15:55Z
388074,1,2.939146,3.685184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.939146,0.987475,32.000000,8.000000,3.000000,0.976287,0.833333,3.188025,7.000000,1.000000,0.991513,0.897436,3.531183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:16:27Z
407081,0,2.953658,3.685184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.953658,0.988004,32.000000,8.000000,3.000000,0.981107,0.853659,3.175544,7.000000,1.000000,0.991513,0.897436,3.536878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:16:46Z
438130,1,2.953658,3.670088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.953658,0.988437,32.000000,8.000000,3.000000,0.981107,0.853659,3.159800,7.000000,1.000000,0.987451,0.909091,3.556547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:17:17Z
457159,0,3.665062,3.670088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.665062,1.000000,32.000000,7.000000,1.000000,0.986099,0.869565,3.150873,7.000000,1.000000,0.987451,0.909091,3.560810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:17:36Z
488211,1,3.665062,3.635287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.635287,0.999983,32.000000,7.000000,1.000000,0.986099,0.869565,3.189205,7.000000,1.000000,0.978087,0.918367,3.575811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:18:07Z
507261,0,3.616540,3.635287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.616540,0.999993,32.000000,7.000000,1.000000,0.973044,0.882353,3.211999,7.000000,1.000000,0.978087,0.918367,3.579121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:18:26Z
538341,1,3.616540,3.627072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.616540,0.999998,32.000000,7.000000,1.000000,0.973044,0.882353,3.242722,7.000000,1.000000,0.975877,0.925926,3.590939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:18:57Z
557365,0,3.624567,3.627072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.624567,1.000000,32.000000,7.000000,1.000000,0.975203,0.892857,3.261207,7.000000,1.000000,0.975877,0.925926,3.593583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:19:16Z
588466,1,3.624567,3.645179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.624567,0.999992,32.000000,7.000000,1.000000,0.975203,0.892857,3.278305,7.000000,1.000000,0.980749,0.932203,3.603133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:19:47Z
617507,0,3.590654,3.645179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.590654,0.999943,32.000000,7.000000,1.000000,0.966079,0.887097,3.301672,7.000000,1.000000,0.980749,0.932203,3.607374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:20:16Z
638551,1,3.590654,3.616498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.590654,0.999987,32.000000,7.000000,1.000000,0.966079,0.887097,3.315915,7.000000,1.000000,0.973032,0.937500,3.613172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:20:37Z
667636,0,3.690536,3.616498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.616498,0.999897,32.000000,7.000000,1.000000,0.992952,0.895522,3.335535,7.000000,1.000000,0.973032,0.937500,3.616708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:21:06Z
688671,1,3.690536,3.598522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.598522,0.999841,32.000000,7.000000,1.000000,0.992952,0.895522,3.347582,7.000000,1.000000,0.968196,0.942029,3.621581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:21:27Z
737772,0,3.594850,3.598522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.594850,1.000000,32.000000,7.000000,1.000000,0.967208,0.878378,3.364289,7.000000,1.000000,0.968196,0.942029,3.627385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:22:16Z
738758,1,3.594850,3.612752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.594850,0.999994,32.000000,7.000000,1.000000,0.967208,0.878378,3.364289,7.000000,1.000000,0.972024,0.945946,3.628727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:22:17Z
787858,0,3.632715,3.612752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.612752,0.999992,32.000000,7.000000,1.000000,0.977395,0.886076,3.389009,7.000000,1.000000,0.972024,0.945946,3.632522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T19:23:06Z
