TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
44860,0,3.070904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.070904,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:21Z
45863,1,3.070904,2.869309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.869309,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:22Z
46874,2,3.070904,2.869309,2.942791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.869309,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:23Z
47876,3,3.070904,2.869309,2.942791,3.091048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.869309,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,7.000000,1.000000,0.988824,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:24Z
48883,4,3.070904,2.869309,2.942791,3.091048,2.544094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.544094,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,7.000000,1.000000,0.988824,1.000000,0.000000,8.000000,3.000000,0.985323,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:25Z
49885,5,3.070904,2.869309,2.942791,3.091048,2.544094,1.675288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.675288,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,7.000000,1.000000,0.988824,1.000000,0.000000,8.000000,3.000000,0.985323,1.000000,0.000000,9.000000,5.000000,0.999429,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:26Z
50896,6,3.070904,2.869309,2.942791,3.091048,2.544094,1.675288,2.911844,0.000000,0.000000,0.000000,0.000000,0.000000,1.675288,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,7.000000,1.000000,0.988824,1.000000,0.000000,8.000000,3.000000,0.985323,1.000000,0.000000,9.000000,5.000000,0.999429,1.000000,0.000000,7.000000,1.000000,0.931497,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:27Z
51922,7,3.070904,2.869309,2.942791,3.091048,2.544094,1.675288,2.911844,1.556963,0.000000,0.000000,0.000000,0.000000,1.556963,NaN,32.000000,7.000000,1.000000,0.982380,1.000000,0.000000,7.000000,0.000000,0.999995,1.000000,0.000000,7.000000,1.000000,0.941397,1.000000,0.000000,7.000000,1.000000,0.988824,1.000000,0.000000,8.000000,3.000000,0.985323,1.000000,0.000000,9.000000,5.000000,0.999429,1.000000,0.000000,7.000000,1.000000,0.931497,1.000000,0.000000,8.000000,4.000000,0.556008,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:25:28Z
95296,0,2.862750,2.869309,2.942791,3.091048,2.544094,1.675288,2.911844,1.556963,0.000000,0.000000,0.000000,0.000000,1.556963,0.953878,32.000000,7.000000,0.000000,0.997709,1.000000,3.125982,7.000000,0.000000,0.999995,1.000000,2.869323,7.000000,1.000000,0.941397,1.000000,3.125982,7.000000,1.000000,0.988824,1.000000,3.125982,8.000000,3.000000,0.985323,1.000000,2.581989,9.000000,5.000000,0.999429,1.000000,1.676245,7.000000,1.000000,0.931497,1.000000,3.125982,8.000000,4.000000,0.556008,1.000000,2.800251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:26:12Z
96306,1,2.862750,2.863019,2.942791,3.091048,2.544094,1.675288,2.911844,1.556963,0.000000,0.000000,0.000000,0.000000,1.556963,0.953919,32.000000,7.000000,0.000000,0.997709,1.000000,3.125982,7.000000,0.000000,0.997803,1.000000,2.869323,7.000000,1.000000,0.941397,1.000000,3.125982,7.000000,1.000000,0.988824,1.000000,3.125982,8.000000,3.000000,0.985323,1.000000,2.581989,9.000000,5.000000,0.999429,1.000000,1.676245,7.000000,1.000000,0.931497,1.000000,3.125982,8.000000,4.000000,0.556008,1.000000,2.800251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T13:26:13Z
